,drug,features,precision_s,precision_r,recall_s,recall_r,accuracy
0,Cef,genexp,0.5555555555555556,0.5909090909090909,0.7352941176470589,0.3939393939393939,0.5671641791044776
1,Cef,genexp+snps,0.725,0.8148148148148148,0.8529411764705882,0.6666666666666666,0.7611940298507462
2,Cef,gpa,0.5641025641025641,0.5714285714285714,0.6470588235294118,0.48484848484848486,0.5671641791044776
3,Cef,genexp+gpa,0.6666666666666666,0.6774193548387096,0.7058823529411765,0.6363636363636364,0.6716417910447762
4,Cef,genexp+gpa+snps,0.7073170731707317,0.8076923076923077,0.8529411764705882,0.6363636363636364,0.746268656716418
5,Cef,gpa+snps,0.6382978723404256,0.8,0.8823529411764706,0.48484848484848486,0.6865671641791045
6,Cef,snps,0.6382978723404256,0.8,0.8823529411764706,0.48484848484848486,0.6865671641791045
7,Cip,genexp,0.6176470588235294,0.7105263157894737,0.65625,0.675,0.6666666666666666
8,Cip,genexp+snps,0.6,0.7027027027027027,0.65625,0.65,0.6527777777777778
9,Cip,gpa,0.6136363636363636,0.8214285714285714,0.84375,0.575,0.6944444444444444
10,Cip,genexp+gpa,0.5882352941176471,0.6842105263157895,0.625,0.65,0.6388888888888888
11,Cip,genexp+gpa+snps,0.6666666666666666,0.8666666666666667,0.875,0.65,0.75
12,Cip,gpa+snps,0.574468085106383,0.8,0.84375,0.5,0.6527777777777778
13,Cip,snps,0.5833333333333334,0.8333333333333334,0.875,0.5,0.6666666666666666
14,Mer,genexp,0.5555555555555556,0.7258064516129032,0.22727272727272727,0.9183673469387755,0.704225352112676
15,Mer,genexp+snps,0.6,0.7377049180327869,0.2727272727272727,0.9183673469387755,0.7183098591549296
16,Mer,gpa,0.3333333333333333,0.7,0.3181818181818182,0.7142857142857143,0.5915492957746479
17,Mer,genexp+gpa,0.5454545454545454,0.7333333333333333,0.2727272727272727,0.8979591836734694,0.704225352112676
18,Mer,genexp+gpa+snps,0.6363636363636364,0.75,0.3181818181818182,0.9183673469387755,0.7323943661971831
19,Mer,gpa+snps,0.2727272727272727,0.6833333333333333,0.13636363636363635,0.8367346938775511,0.6197183098591549
20,Mer,snps,0.38461538461538464,0.7068965517241379,0.22727272727272727,0.8367346938775511,0.647887323943662
21,Tob,genexp,0.896551724137931,0.8333333333333334,0.9285714285714286,0.7692307692307693,0.8780487804878049
22,Tob,genexp+snps,0.9166666666666666,0.9545454545454546,0.9821428571428571,0.8076923076923077,0.926829268292683
23,Tob,gpa,0.9166666666666666,0.9545454545454546,0.9821428571428571,0.8076923076923077,0.926829268292683
24,Tob,genexp+gpa,0.896551724137931,0.8333333333333334,0.9285714285714286,0.7692307692307693,0.8780487804878049
25,Tob,genexp+gpa+snps,0.9166666666666666,0.9545454545454546,0.9821428571428571,0.8076923076923077,0.926829268292683
26,Tob,gpa+snps,0.9152542372881356,0.9130434782608695,0.9642857142857143,0.8076923076923077,0.9146341463414634
27,Tob,snps,0.9137931034482759,0.875,0.9464285714285714,0.8076923076923077,0.9024390243902439
