,drug,features,precision_s,precision_r,recall_s,recall_r,accuracy
0,Cef,genexp+gpa+snps,0.7027027027027027,0.7333333333333333,0.7647058823529411,0.6666666666666666,0.7164179104477612
1,Cip,genexp+gpa+snps,0.631578947368421,0.7647058823529411,0.75,0.65,0.6944444444444444
2,Mer,genexp+gpa+snps,0.5833333333333334,0.7457627118644068,0.3181818181818182,0.8979591836734694,0.7183098591549296
3,Tob,genexp+gpa+snps,0.9016393442622951,0.9523809523809523,0.9821428571428571,0.7692307692307693,0.9146341463414634
