,C,Cv_score,Test_score
0,0.0001,0.3358333333333333,0.5074626865671642
1,0.00023357214690901212,0.3358333333333333,0.5074626865671642
2,0.000545559478116852,0.3358333333333333,0.5074626865671642
3,0.0012742749857031334,0.3358333333333333,0.5074626865671642
4,0.002976351441631319,0.3358333333333333,0.5074626865671642
5,0.0069519279617756054,0.3358333333333333,0.5074626865671642
6,0.01623776739188721,0.3358333333333333,0.7014925373134329
7,0.0379269019073225,0.7484915029073063,0.7611940298507462
8,0.08858667904100823,0.7896764141063123,0.8208955223880597
9,0.2069138081114788,0.8124986196739638,0.7611940298507462
10,0.4832930238571752,0.7824596681260682,0.7313432835820896
11,1.1288378916846884,0.7630055109455048,0.7164179104477612
12,2.6366508987303554,0.7593141848013485,0.7313432835820896
13,6.1584821106602545,0.7555634072769859,0.7313432835820896
14,14.38449888287663,0.7556695190083212,0.7313432835820896
15,33.59818286283781,0.7594619180837393,0.7313432835820896
16,78.47599703514607,0.7551705310987111,0.746268656716418
17,183.29807108324337,0.754980217571512,0.7611940298507462
18,428.1332398719387,0.7664866576268504,0.746268656716418
19,1000.0,0.7400932489427433,0.7164179104477612
