,Gamma,Cv_score,Test_score
0,0.0001,0.6608728693424396,0.6865671641791045
1,0.00026366508987303583,0.6544937838635979,0.7014925373134329
2,0.0006951927961775605,0.6544937838635979,0.7014925373134329
3,0.0018329807108324356,0.6544937838635979,0.7014925373134329
4,0.004832930238571752,0.6544937838635979,0.7014925373134329
5,0.012742749857031334,0.6544937838635979,0.7014925373134329
6,0.03359818286283781,0.6544937838635979,0.7014925373134329
7,0.08858667904100823,0.6544937838635979,0.7014925373134329
8,0.23357214690901212,0.6544937838635979,0.7014925373134329
9,0.615848211066026,0.6544937838635979,0.7014925373134329
10,1.623776739188721,0.6544937838635979,0.7014925373134329
11,4.281332398719396,0.6544937838635979,0.7014925373134329
12,11.288378916846883,0.6544937838635979,0.7014925373134329
13,29.763514416313132,0.6544937838635979,0.7014925373134329
14,78.47599703514607,0.6544937838635979,0.7014925373134329
15,206.913808111479,0.6544937838635979,0.7014925373134329
16,545.5594781168514,0.6544937838635979,0.7014925373134329
17,1438.44988828766,0.6544937838635979,0.7014925373134329
18,3792.690190732246,0.6544937838635979,0.7014925373134329
19,10000.0,0.6544937838635979,0.7014925373134329
