,Gamma,Cv_score,Test_score
0,1e-06,0.33080168776371305,0.4925373134328358
1,2.6366508987303555e-06,0.33080168776371305,0.4925373134328358
2,6.951927961775605e-06,0.33080168776371305,0.4925373134328358
3,1.8329807108324375e-05,0.3387884267631103,0.4925373134328358
4,4.8329302385717524e-05,0.3872426901023015,0.6119402985074627
5,0.00012742749857031334,0.33080168776371305,0.5074626865671642
6,0.0003359818286283781,0.33080168776371305,0.4925373134328358
7,0.0008858667904100822,0.33080168776371305,0.4925373134328358
8,0.002335721469090121,0.33080168776371305,0.4925373134328358
9,0.00615848211066026,0.33080168776371305,0.4925373134328358
10,0.01623776739188721,0.33080168776371305,0.4925373134328358
11,0.04281332398719396,0.33080168776371305,0.4925373134328358
12,0.11288378916846883,0.33080168776371305,0.4925373134328358
13,0.2976351441631313,0.33080168776371305,0.4925373134328358
14,0.7847599703514607,0.33080168776371305,0.4925373134328358
15,2.06913808111479,0.33080168776371305,0.4925373134328358
16,5.455594781168514,0.33080168776371305,0.4925373134328358
17,14.384498882876601,0.33080168776371305,0.4925373134328358
18,37.92690190732246,0.33080168776371305,0.4925373134328358
19,100.0,0.33080168776371305,0.4925373134328358
