,C,Cv_score,Test_score
0,0.0001,0.3358333333333333,0.5074626865671642
1,0.00023357214690901212,0.3358333333333333,0.5074626865671642
2,0.000545559478116852,0.3358333333333333,0.5074626865671642
3,0.0012742749857031334,0.3358333333333333,0.5074626865671642
4,0.002976351441631319,0.3358333333333333,0.5074626865671642
5,0.0069519279617756054,0.7168222368975101,0.7164179104477612
6,0.01623776739188721,0.773720017139372,0.8059701492537313
7,0.0379269019073225,0.8163956218073866,0.8059701492537313
8,0.08858667904100823,0.7787752092277556,0.7164179104477612
9,0.2069138081114788,0.7589213086230737,0.7014925373134329
10,0.4832930238571752,0.7514143457635785,0.7164179104477612
11,1.1288378916846884,0.7511995180675896,0.7313432835820896
12,2.6366508987303554,0.743684308605332,0.7313432835820896
13,6.1584821106602545,0.743684308605332,0.7313432835820896
14,14.38449888287663,0.7401115102890117,0.7313432835820896
15,33.59818286283781,0.743684308605332,0.7313432835820896
16,78.47599703514607,0.7438622878133742,0.746268656716418
17,183.29807108324337,0.7439006151334191,0.7313432835820896
18,428.1332398719387,0.7441711241918486,0.7164179104477612
19,1000.0,0.7441899027257659,0.7164179104477612
