,drug,features,best C,train samples,features used,precision_s,precision_r,recall_s,recall_r,accuracy
0,Cef,genexp+gpa+snps,10000.0,267,115,0.7352941176470589,0.7272727272727273,0.7352941176470589,0.7272727272727273,0.7313432835820896
1,Cip,genexp+gpa+snps,10000.0,286,296,0.7352941176470589,0.8157894736842105,0.78125,0.775,0.7777777777777778
2,Mer,genexp+gpa+snps,10000.0,283,116,0.8823529411764706,0.8703703703703703,0.6818181818181818,0.9591836734693877,0.8732394366197183
3,Tob,genexp+gpa+snps,10000.0,324,166,0.9642857142857143,0.9230769230769231,0.9642857142857143,0.9230769230769231,0.9512195121951219
