,Cef,Cip,Mer,Tob
genexp,0.7040670859538785,0.8027586206896551,0.7936466165413534,0.911076923076923
genexp+snps,0.6725087351502446,0.7525105868118571,0.7003508771929823,0.9147788461538461
gpa,0.6710691823899372,0.7867392619479735,0.6627944862155388,0.932076923076923
genexp+gpa,0.6883997204751922,0.7971808832425892,0.7215538847117793,0.9277403846153846
genexp+gpa+snps,0.6851991614255765,0.7510707803992741,0.6925187969924812,0.9203461538461538
gpa+snps,0.6852550663871417,0.7518088324258924,0.6627694235588971,0.9191153846153846
snps,0.6732914046121594,0.758088324258923,0.6805263157894739,0.9154038461538461
