,Cef,Cip,Mer,Tob
genexp,0.051117718163084185,0.05052110315164689,0.06031882844169471,0.035096316927751274
genexp+snps,0.059852506616089325,0.04577195468109284,0.053308131906463434,0.032778437726323724
gpa,0.05523498891192543,0.0420971578138713,0.05573765936999685,0.03251096834083519
genexp+gpa,0.057708823679385166,0.0463613077245439,0.06818607802411325,0.03305398340530644
genexp+gpa+snps,0.06678432362008895,0.039296041920442636,0.06637071589960049,0.0342566691156784
gpa+snps,0.06609977039873942,0.03512366723727232,0.054576753914281934,0.03173921572537178
snps,0.06422310085534402,0.04273713796273897,0.05792987222111756,0.03148072523501148
