,Cef,Cip,Mer,Tob
genexp,0.5108307159027408,0.5717095775004539,0.5169982186116812,0.6013127149280537
genexp+snps,0.4585154221961774,0.5377834870402275,0.36588829367339604,0.49130901398710364
gpa,0.330801687763713,0.32449248583394924,0.30821052631578943,0.40441726129799527
genexp+gpa,0.49678699692994305,0.49836621884788124,0.37455539842239,0.5729159563546159
genexp+gpa+snps,0.4161619177284095,0.4102378995757367,0.2791808609273383,0.4012101027960814
gpa+snps,0.330801687763713,0.32449248583394924,0.30821052631578943,0.40441726129799527
snps,0.330801687763713,0.32449248583394924,0.30821052631578943,0.40441726129799527
