,Cef,Cip,Mer,Tob
genexp,0.06691489439878448,0.055705043949749095,0.07251122201110469,0.04762115015753331
genexp+snps,0.061766322984259873,0.0619896237940473,0.04909099873663899,0.04863258695923328
gpa,0.0020670799517157642,0.024045101528996634,0.08354049228018418,0.001495073054706064
genexp+gpa,0.06751500038878921,0.048256369514813706,0.06727570847750969,0.06559620732688368
genexp+gpa+snps,0.051973960960880757,0.05023044387829501,0.03455036593389897,0.06671675810015291
gpa+snps,0.0020670799517157642,0.024045101528996634,0.08354049228018418,0.001495073054706064
snps,0.0020670799517157642,0.024045101528996634,0.08354049228018418,0.001495073054706064
