,drug,features,precision_s,precision_r,recall_s,recall_r,accuracy
0,Cef,genexp+gpa+snps,0.6578947368421053,0.6896551724137931,0.7352941176470589,0.6060606060606061,0.6716417910447762
1,Cip,genexp+gpa+snps,0.7142857142857143,0.8108108108108109,0.78125,0.75,0.7638888888888888
2,Mer,genexp+gpa+snps,0.8333333333333334,0.7966101694915254,0.45454545454545453,0.9591836734693877,0.8028169014084507
3,Tob,genexp+gpa+snps,0.9166666666666666,0.9545454545454546,0.9821428571428571,0.8076923076923077,0.926829268292683
