,drug,features,accuracy_training,precision_s,precision_r,recall_s,recall_r,accuracy
0,Cef,genexp+gpa+snps,1.0,0.7567567567567568,0.8,0.8235294117647058,0.7272727272727273,0.7761194029850746
1,Cip,genexp+gpa+snps,1.0,0.7,0.7380952380952381,0.65625,0.775,0.7222222222222222
2,Mer,genexp+gpa+snps,1.0,0.875,0.8545454545454545,0.6363636363636364,0.9591836734693877,0.8591549295774648
3,Tob,genexp+gpa+snps,1.0,0.9642857142857143,0.9230769230769231,0.9642857142857143,0.9230769230769231,0.9512195121951219
