,Cef,Cip,Mer,Tob
genexp,0.0020670799517157642,0.024045101528996634,0.08354049228018418,0.001495073054706064
genexp+snps,0.0020670799517157642,0.024045101528996634,0.08354049228018418,0.001495073054706064
gpa,0.0020670799517157642,0.024045101528996634,0.08354049228018418,0.001495073054706064
genexp+gpa,0.0020670799517157642,0.024045101528996634,0.08354049228018418,0.001495073054706064
genexp+gpa+snps,0.0020670799517157642,0.024045101528996634,0.08354049228018418,0.001495073054706064
gpa+snps,0.0020670799517157642,0.024045101528996634,0.08354049228018418,0.001495073054706064
snps,0.0020670799517157642,0.024045101528996634,0.08354049228018418,0.001495073054706064
