,Cef,Cip,Mer,Tob
genexp,0.330801687763713,0.32449248583394924,0.30821052631578943,0.40441726129799527
genexp+snps,0.330801687763713,0.32449248583394924,0.30821052631578943,0.40441726129799527
gpa,0.330801687763713,0.32449248583394924,0.30821052631578943,0.40441726129799527
genexp+gpa,0.330801687763713,0.32449248583394924,0.30821052631578943,0.40441726129799527
genexp+gpa+snps,0.330801687763713,0.32449248583394924,0.30821052631578943,0.40441726129799527
gpa+snps,0.330801687763713,0.32449248583394924,0.30821052631578943,0.40441726129799527
snps,0.330801687763713,0.32449248583394924,0.30821052631578943,0.40441726129799527
