,Drug_feature,Explained_variance_1,Explained_variance_2
0,Cef_genexp,0.3604653305681578,0.10452857933710806
1,Cef_gpa,0.11389594431134498,0.05769404847394783
2,Cef_snps,0.19552820609322324,0.06505877978921462
3,Cip_genexp,0.3506385787748745,0.11269721122269508
4,Cip_gpa,0.12020904064435357,0.0693442714454202
5,Cip_snps,0.20522280950807015,0.06462761268045601
6,Mer_genexp,0.3453432675339211,0.11171563536244729
7,Mer_gpa,0.11918773691002094,0.06300626866836381
8,Mer_snps,0.20216285338047055,0.06357989851613631
9,Tob_genexp,0.3451292899180295,0.11002128594388878
10,Tob_gpa,0.11306852183271018,0.06264222408111435
11,Tob_snps,0.19734257410492825,0.06184637771319555
