,Cef,Cip,Mer,Tob
genexp,0.7860723997422719,0.8028831211686165,0.8789786201600583,0.8843491500896267
genexp+snps,0.7793072353947933,0.8845853214673468,0.8754129146735379,0.8872017125645467
gpa,0.6704458624627673,0.7932375976289672,0.86889937654608,0.9156177051663099
genexp+gpa,0.7890944661326759,0.8039992921212279,0.869810856413627,0.8947535789209579
genexp+gpa+snps,0.7837908405639091,0.8845667320123509,0.867401092407339,0.8960421284889236
gpa+snps,0.6688202392319503,0.8900455441770143,0.8726403495640602,0.8943678360486187
snps,0.6672931593637721,0.8905257187534711,0.5819240351102496,0.8824782619953333
