,Cef,Cip,Mer,Tob
genexp,0.04802350201075479,0.032507052581675605,0.04197607759406505,0.03541099645849675
genexp+snps,0.05230233628934509,0.04245372045813045,0.03971941324422419,0.032849826390639866
gpa,0.059812215847028324,0.043794734452050746,0.0347770110288646,0.02896968914957977
genexp+gpa,0.04799114240979912,0.03179495893616223,0.04295305267955379,0.02940013895629611
genexp+gpa+snps,0.05301303515667692,0.042434854646626635,0.04212911431077714,0.03246041311597247
gpa+snps,0.07316591328883831,0.029918987409367218,0.03428397276310982,0.03380430402562019
snps,0.06221854827567972,0.028238921833657,0.06363914783051061,0.033836332555586754
