,Cef,Cip,Mer,Tob
genexp,0.061095423005437355,0.051851750752252256,0.04914514051115715,0.04702532067475059
genexp+snps,0.05629343199585268,0.05594414688854606,0.05883423060440095,0.0361079925889761
gpa,0.059380935277229714,0.04498288483633339,0.07193532815728329,0.043926856068423344
genexp+gpa,0.07335329703617917,0.04897875944520783,0.03971390303076251,0.0460323042748936
genexp+gpa+snps,0.06189034954527338,0.05380777478240031,0.07144714855083813,0.03827432600478313
gpa+snps,0.05776489144772633,0.044169526371760984,0.051803124628185274,0.03601091429600152
snps,0.05777258193840396,0.04174106894440078,0.044960584737661596,0.036679003071797125
