,Cef,Cip,Mer,Tob
genexp,0.6150104821802934,0.6628070175438596,0.7046365914786967,0.8160192307692307
genexp+snps,0.6688329839273236,0.69167574107683,0.7137593984962406,0.8851057692307692
gpa,0.629937106918239,0.7496551724137932,0.6392731829573934,0.8987115384615385
genexp+gpa,0.6352201257861636,0.6922444041137327,0.712330827067669,0.8641057692307693
genexp+gpa+snps,0.6590356394129979,0.6916515426497277,0.7193859649122807,0.8894423076923077
gpa+snps,0.6440810621942696,0.7418995765275258,0.6104636591478697,0.8925673076923077
snps,0.6515583508036338,0.7320992135511192,0.6160902255639098,0.8900961538461538
