,drug,features,test samples,predicted_s,real_s,predicted_r,real_r
0,Cef,genexp,67,35,34,32,33
1,Cef,gpa,67,37,34,30,33
2,Cef,snps,67,37,34,30,33
3,Cip,genexp,72,36,32,36,40
4,Cip,gpa,72,34,32,38,40
5,Cip,snps,72,32,32,40,40
6,Mer,genexp,71,18,22,53,49
7,Mer,gpa,71,17,22,54,49
8,Mer,snps,71,16,22,55,49
9,Tob,genexp,82,56,56,26,26
10,Tob,gpa,82,62,56,20,26
11,Tob,snps,82,59,56,23,26
