,Cef,Cip,Mer,Tob
genexp,0.7915101775253421,0.8057013516484468,0.8496182808356457,0.8684664247378823
genexp+snps,0.7915101775253421,0.8433338748873486,0.8630096101254452,0.879694684211744
gpa,0.607896844902626,0.762691358905649,0.8473421651711108,0.900022860208199
genexp+gpa,0.7915101775253421,0.8069933752825247,0.8599593000099578,0.8785245305580155
genexp+gpa+snps,0.7915101775253421,0.8461433565457668,0.8653295814834913,0.8790094130689813
gpa+snps,0.6525241083670821,0.8779174909551631,0.8374742786901925,0.8877269525973
snps,0.6376948332678051,0.8788031124632856,0.578681410628035,0.874727907609098
