,Cef,Cip,Mer,Tob
genexp,0.05263629981712918,0.052559396927960925,0.044252029932073625,0.040253171987461686
genexp+snps,0.05263629981712918,0.05161548277927271,0.0410045315673742,0.04045029564293438
gpa,0.08271132313267797,0.04879244860031631,0.035537342058944994,0.03079246412580849
genexp+gpa,0.05263629981712918,0.05368833459095864,0.04276783325446054,0.045023806775497936
genexp+gpa+snps,0.05263629981712918,0.05404305702925682,0.04262661665021292,0.04153519561886676
gpa+snps,0.06695777229605566,0.03993826693752552,0.0411490307255298,0.03364787111858064
snps,0.0747708340267544,0.039051984181013376,0.06504240539359842,0.040107290695792344
