,Cef,Cip,Mer,Tob
genexp,0.6727204889031627,0.6994466429706899,0.57479532822936,0.833963202336259
genexp+snps,0.6640352602816315,0.7849481128898068,0.5830390882714179,0.8906699391702284
gpa,0.6491453695919043,0.8105552227813979,0.6626872635133956,0.9173696635949969
genexp+gpa,0.688095895510859,0.7864265973974679,0.6577376124657924,0.890515335826814
genexp+gpa+snps,0.672722975201003,0.787625808337398,0.6013140716111844,0.8988264616234989
gpa+snps,0.6751313285032516,0.7825685982920844,0.5620872392383192,0.8956451104046002
snps,0.6713029202634899,0.7466283623991662,0.5610949402729476,0.8937789883852334
